key,x,y,z
l0,1.61624,2.11273,-0.00738089
l1,1.499,2.63254,-0.00890945
l2,1.50406,3.19783,-0.0102497
l3,2.06929,3.1709,-0.0106652
l4,2.03109,2.8678,-0.0104549
l5,1.88944,2.54493,-0.0104619
l6,2.00389,2.05593,-0.0103011
l7,2.14627,2.33471,-0.0104245
l8,2.24885,2.65489,-0.00991525
l9,2.39683,2.86323,-0.0107792
l10,2.62793,3.06173,-0.00403525
l11,2.92555,2.94221,-0.00835303
l12,3.13093,2.68822,-0.00807754
l13,2.74579,2.68692,-0.00840465
l14,2.4475,2.44955,-0.00942125
l15,2.71628,2.40895,-0.00625649
l16,2.37941,2.20137,-0.00761348
l17,2.70311,2.01308,-0.00937463
l18,3.22034,2.03797,-0.00863483
l19,3.07833,2.25481,-0.00692204
